Japan, Life tables (period 1x1), Females     Last modified:2022-12-12, ver.004_003 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08545  0.08057  0.29  100000    8057   94297  5370784  53.71
  1947           1     0.03372  0.03316  0.50   91943    3049   90418  5276486  57.39
  1947           2     0.01699  0.01685  0.50   88894    1498   88145  5186068  58.34
  1947           3     0.01141  0.01135  0.50   87396     992   86900  5097924  58.33
  1947           4     0.00692  0.00689  0.50   86404     596   86106  5011024  58.00
  1947           5     0.00494  0.00493  0.50   85808     423   85597  4924918  57.39
  1947           6     0.00363  0.00362  0.50   85386     309   85231  4839320  56.68
  1947           7     0.00289  0.00288  0.50   85076     245   84954  4754089  55.88
  1947           8     0.00220  0.00220  0.50   84831     187   84738  4669136  55.04
  1947           9     0.00204  0.00204  0.50   84644     173   84558  4584398  54.16
  1947          10     0.00178  0.00178  0.50   84472     151   84396  4499840  53.27
  1947          11     0.00173  0.00173  0.50   84321     146   84248  4415443  52.36
  1947          12     0.00181  0.00181  0.50   84175     153   84099  4331195  51.45
  1947          13     0.00191  0.00191  0.50   84023     160   83943  4247096  50.55
  1947          14     0.00237  0.00237  0.50   83863     198   83763  4163153  49.64
  1947          15     0.00317  0.00316  0.50   83664     265   83532  4079390  48.76
  1947          16     0.00370  0.00369  0.50   83399     308   83246  3995858  47.91
  1947          17     0.00449  0.00448  0.50   83092     372   82906  3912612  47.09
  1947          18     0.00528  0.00527  0.50   82720     436   82502  3829707  46.30
  1947          19     0.00627  0.00625  0.50   82284     514   82027  3747205  45.54
  1947          20     0.00707  0.00705  0.50   81769     576   81481  3665178  44.82
  1947          21     0.00739  0.00736  0.50   81193     598   80894  3583697  44.14
  1947          22     0.00744  0.00741  0.50   80595     597   80297  3502803  43.46
  1947          23     0.00783  0.00780  0.50   79998     624   79686  3422506  42.78
  1947          24     0.00790  0.00787  0.50   79374     624   79062  3342821  42.11
  1947          25     0.00774  0.00771  0.50   78750     607   78446  3263759  41.44
